10458,CENPE
10459,PDK1
10460,IL33
10461,MAPT
10462,TUBB5
10463,IDI1
10464,TPM1
10465,ACHE
10466,ACTB
10467,CYBB
10468,TSC22D3
10469,FBXO32
10470,GHR
10471,TNFRSF12A
10472,IGF2
10473,DPYD
10474,NR4A1
10475,BHLHE40
10476,CCND3
10477,CP
10478,TJP1
10479,KLF4
10480,INSR
10481,ERN1
10482,BMAL1
10483,DBI
10484,ANXA3
10485,BHMT
10486,GSTM4
10487,EPCAM
10488,RAF1
10489,GLUL
10490,GPNMB
10491,DECR1
10492,CDKN2B
10493,NFIL3
10494,HSPA2
10495,PSAT1
10496,CASP4
10497,KLF6
10498,MYLK
10499,ACLY
10500,CD86
10501,ITGB1
10502,CFB
10503,FTH1
10504,SLC27A2
10505,DUSP5
10506,ATP1B1
10507,FMO1
10508,ATG5
10509,CRP
10510,FOXM1
10511,GLRX
10512,POSTN
10513,EGLN3
10514,CTSL
10515,SLC2A3
10516,TLR2
10517,RRM1
10518,SOX4
10519,EEF2
10520,IRS2
10521,SOX9
10522,EMP1
10523,KIF23
10524,CCL20
10525,MMP14
10526,PRKAA1
10527,EP300
10528,G0S2
10529,IFRD1
10530,ABCB11
10531,ENC1
10532,LCN2
10533,RARA
10534,NLRP3
10535,AKR1B1
10536,NR0B2
10537,SLC10A1
10538,SPARC
10539,CSF1
10540,CYB5A
10541,SULT2A1
10542,SOCS3
10543,INHBA
10544,CLDN1
10545,ASS1
10546,ATF2
10547,IL11
10548,FHL2
10549,PER2
10550,CDO1
10551,LIF
10552,SLC16A1
10553,S100A4
10554,COL18A1
10555,PRNP
10556,CCNF
10557,SLCO1A1
10558,FOXO1
10559,HSP90B1
10560,SPHK1
10561,SLC29A1
10562,INS
10563,TMPO
10564,F2R
10565,ENO1
10566,TFPI2
10567,MDH1
10568,THRA
10569,ANGPTL4
10570,CCNG2
10571,TMSB10
10572,CD68
10573,DHFR
10574,CDC25A
10575,E2F8
10576,EPHX2
10577,CES2
10578,S100A10
10579,FANCD2
10580,STC2
10581,ENPP2
10582,TUBB4B
10583,IFIT3
10584,CREM
10585,IL1RN
10586,AHCY
10587,ACTA1
10588,SLC2A4
10589,S100A6
10590,ITPR1
10591,CYP2B6
10592,APOB
10593,PKLR
10594,VLDLR
10595,RUNX2
10596,HGF
10597,SLC6A6
10598,S100A11
10599,NGF
10600,PGF
10601,MAP2K6
10602,NAT8
10603,CXCL5
10604,EREG
10605,SLCO1A4
10606,FGF1
10607,CYP4A14
10608,HAL
10609,HMGCS2
10610,NEDD9
10611,DLGAP5
10612,PDCD4
10613,CREBBP
10614,FABP1
10615,CDCA3
10616,PDGFB
10617,CDC25B
10618,MGST1
10619,JUND
10620,PDGFA
10621,KYNU
10622,LGALS1
